"product id","Part Number",Description,"Error Message"
7824642,100-C09*10,"This Allen Bradley C frame electromechanical contactor switch comes with an amperage rating of 9 A. Additionally, this IEC contactor uses a standard terminal type. ","ran out of spec templates"
7824636,100-C09*400,"The 100-C09*400 manufactured by Rockwell Automation is a 9 Amps contactor. It uses a standard terminal type. ","ran out of spec templates"
7820616,100-C09C200,"This Allen Bradley 9 Amps 100 series C frame IEC contactor operates at 550 Volts at 50 Hertz, 600 Volts at 60 Hertz. This IEC contactor uses a standard terminal type. Furthermore, this unit comes with 2 normally open 2 normally closed poles. ","ran out of spec templates"
7820633,100-C09DJ32,"This Allen-Bradley 9 Amps 100 series C frame contactor switch uses a standard terminal type. This C frame contactor has a 24 Volts DC control coil that utilizes an integrated diode. ","ran out of spec templates"
7820637,100-C09E400,"This Allen-Bradley/Rockwell Automation 9 Amps 100 series C frame electromechanical contactor switch has a 380 Volts at 60Hz control coil with an integrated diode. Additionally, this contactor comes with 4 N.O. poles. In addition, it uses a standard terminal type. ","ran out of spec templates"
7823697,100-C09ED400,"This Allen-Bradley 9 Amps 100 series C frame contactor has a 110-125V DC control coil with an integrated diode. In addition, it uses a standard terminal. Furthermore, this Allen-Bradley contactor comes with 4 N.O. main contacts. ","ran out of spec templates"
7823699,100-C09EJ200,"This Rockwell Automation 9 Amps 100 series IEC contactor comes with 2 normally open 2 normally closed poles. Additionally, this IEC contactor is a 24 Volts DC contactor. Also, this electromechanical contactor uses a standard terminal type. ","ran out of spec templates"
7820652,100-C09H300,"This Allen-Bradley 9 A 100 series IEC contactor has 3 N.O. 1 N.C. main contacts. This 100 series switch uses a standard terminal type. Also, it operates at 208 Volts AC at 60Hz. ","ran out of spec templates"
7820661,100-C09J300,"This Rockwell Automation 9 Amps 100 series C frame contactor switch operates at 24 Volts alternating current at 60 Hertz. Also, this Allen-Bradley electromechanical contactor comes with 3 normally open 1 normally closed main contacts. This electromechanical contactor switch uses a standard terminal type. ","ran out of spec templates"
7823721,100-C09KF23,"This Allen Bradley 100 series C frame contactor has a breaking current rating of 9 A. In addition, this 100 series IEC contactor is a 230 Volts at 50Hz or 60Hz IEC contactor. Furthermore, this contactor also uses a standard terminal. ","ran out of spec templates"
7823727,100-C09KG300,"This Allen-Bradley/Rockwell Automation 9 A 100 series contactor switch comes with 3 normally open 1 normally closed main contacts. This 100 series C frame electromechanical contactor uses a standard terminal. This contactor operates at 200V AC 50Hz, 200-220V AC 60Hz. ","ran out of spec templates"
7820680,100-C09KP200,"This AB 9 Amps 100 series contactor switch is a 100 Volts AC at 50Hz, 100-110 Volts AC at 60Hz electromechanical contactor. This switch has 2 N.O. 2 N.C. poles. In addition, this Allen-Bradley/Rockwell Automation electromechanical contactor uses a standard terminal type. ","ran out of spec templates"
7820687,100-C09KY400,"This Allen Bradley 9 Amps 100 series C frame electromechanical contactor uses a standard terminal type. It has 4 normally open poles. This 100 series C frame electromechanical contactor additionally operates at 48 Volts AC at 50Hz or 60Hz. ","ran out of spec templates"
7820710,100-C09SDJ10,"The Allen-Bradley/Rockwell Automation 100-C09SDJ10 electromechanical contactor is a 9 A rated electromechanical contactor. In addition, this C frame switch uses a standard terminal. ","ran out of spec templates"
7823744,100-C09SKD10,"This contactor switch made by Allen-Bradley is a 9 A rated contactor. Additionally, it uses a standard terminal type. ","ran out of spec templates"
7823745,100-C09SKF01,"This Allen-Bradley/Rockwell Automation C frame electromechanical contactor switch is a 9 A contactor switch. This switch uses a standard terminal. ","ran out of spec templates"
7823746,100-C09SKF10,"The 100-C09SKF10 made by Rockwell Automation is a 9 A electromechanical contactor switch. This C frame switch uses a standard terminal. ","ran out of spec templates"
7823747,100-C09SKJ10,"This Allen-Bradley C frame switch comes with a breaking current rating of 9 A. Additionally, this Allen-Bradley/Rockwell Automation contactor switch uses a standard terminal type. ","ran out of spec templates"
7820714,100-C09SZJ10,"This contactor switch made by Allen-Bradley/Rockwell Automation is a 9 Amps rated contactor. Also, this Allen-Bradley/Rockwell Automation electromechanical contactor uses a standard terminal type. ","ran out of spec templates"
7823749,100-C09UA01,"This Allen-Bradley 9 Amps 100 series C frame contactor switch has 3 normally open poles. This electromechanical contactor has 1 normally closed auxiliary contact. This contactor uses a standard terminal type. ","ran out of spec templates"
7820729,100-C09UD300,"This 100 series constructed by Allen-Bradley/Rockwell Automation is a 9 A contactor. This contactor switch uses a standard terminal. Also, this electromechanical contactor comes with 3 N.O. 1 N.C. main contacts. ","ran out of spec templates"
7820730,100-C09UD400,"This AB 9 A 100 series IEC contactor uses a standard terminal. Also, this 100 series contactor comes with 4 normally open poles. ","ran out of spec templates"
7820731,100-C09UDJ01,"This AB 9 Amps 100 series electromechanical contactor switch uses a standard terminal type. ","ran out of spec templates"
7820732,100-C09UDJ10,"This 100 series manufactured by AB comes with an amperage rating of 9 Amps. This 100 series C frame IEC contactor additionally uses a standard terminal type. ","ran out of spec templates"
7820733,100-C09UDJ300,"This Allen-Bradley 9 Amps 100 series electromechanical contactor uses a standard terminal type. ","ran out of spec templates"
7820734,100-C09UDJ400,"This Allen-Bradley C frame IEC contactor is a 9 A rated IEC contactor. It uses a standard terminal. ","ran out of spec templates"
7820735,100-C09UEJ01,"This Allen-Bradley 100 series electromechanical contactor switch is a 9 A electromechanical contactor switch. In addition, this switch uses a standard terminal type. ","ran out of spec templates"
