"product id","Part Number",Description,"Error Message"
15394,1336F-AA2,"This 1336 Plus II AC drive made by Allen-Bradley is powered with 200-240 VAC. ","ran out of spec templates"
15166,1336F-AA3,"The 1336F-AA3 built by AB has power requirements of 200-240V AC. ","ran out of spec templates"
15167,1336F-AA4,,"ran out of spec templates"
15395,1336F-AA5,"This 1336 Plus II drive by Allen-Bradley has power requirements of 200-240 VAC. ","ran out of spec templates"
15396,1336F-AA6,"This drive by Allen-Bradley is a 200-240 VAC drive. ","ran out of spec templates"
15397,1336F-AA7,"The 1336F-AA7 manufactured by Allen Bradley requires 200-240 VAC. ","ran out of spec templates"
15398,1336F-AE2,"The 1336F-AE2 manufactured by Allen-Bradley is powered with 200-240V AC. ","ran out of spec templates"
15399,1336F-AE3,,"ran out of spec templates"
15400,1336F-AE4,"This Allen-Bradley VFD requires 200-240 VAC. ","ran out of spec templates"
15401,1336F-AE5,"This 1336 Plus II AC drive built by AB requires 200-240 VAC power. ","ran out of spec templates"
15402,1336F-AE6,"This Allen-Bradley Adjustable Frequency drive is a 200-240 VAC adjustable frequency drive. ","ran out of spec templates"
15403,1336F-AE7,"The Allen-Bradley 1336F-AE7 AC drive is powered with 200-240 VAC. ","ran out of spec templates"
15404,1336F-AFA3,"The 1336F-AFA3 made by AB has power requirements of 200-240V AC. ","ran out of spec templates"
15405,1336F-AFA4B,,"ran out of spec templates"
15406,1336F-AFB1A,,"ran out of spec templates"
15407,1336F-AFB1B,,"ran out of spec templates"
15408,1336F-AFB2A,,"ran out of spec templates"
15409,1336F-AFCA,"This Allen-Bradley AC drive is powered with 200-240V AC. ","ran out of spec templates"
15410,1336F-AFCB,"The 1336F-AFCB by Allen-Bradley is powered with 200-240V AC. ","ran out of spec templates"
15411,1336F-AJA3,,"ran out of spec templates"
15412,1336F-AJB1A,,"ran out of spec templates"
15413,1336F-AJCA,,"ran out of spec templates"
15179,1336F-B020V-AA-CB-HAIC-JF-JR-LR,"This Rockwell Automation 1336 Plus II AC drive is contained in an IP 20 (NEMA 1) enclosure. ","ran out of spec templates"
58129,1336F-BP250-AA-CM-GM6C-HA2C-LR-L5C,"This Allen Bradley 250 HP Adjustable Frequency drive is a 187 kilowatt AC drive. Furthermore, this unit has an IP 20 (NEMA 1) enclosure type. This VFD comes with a F frame size. ","ran out of spec templates"
15219,1336F-BRF100-AA-EN,"This Allen Bradley 380-480V AC or 513-620V DC Adjustable Frequency drive is a 1 horsepower drive. In addition, this AB Adjustable Frequency drive is a 0.75 kilowatt unit. This VFD comes with an A1 frame size. ","ran out of spec templates"
57834,1336F-BRF100-AE-FR,"This AB 1 HP 1336 Plus II AC drive is powered with 380-480 VAC or 513-620 VDC. This VFD additionally is a 0.75 kilowatt drive. In addition, it has an A1 frame size. ","ran out of spec templates"
59421,1336F-BRF100-AJ-EN-HJ2,"This Rockwell Automation 380-480V AC or 513-620V DC Adjustable Frequency drive is a 0.75 kilowatt drive. Furthermore, it is a 1 HP unit. It is a size A1 frame 1336 Plus II drive. ","ran out of spec templates"
57924,1336F-BRF510-AA-EN-HCS2,,"ran out of spec templates"
58086,1336F-BRT100-AA-EN-HAS1-LA4,"The 1336F-BRT100-AA-EN-HAS1-LA4 by AB requires 380-480V AC or 513-620V DC power. In addition, this Allen-Bradley drive comes with a programmer/controller with analog pot human interface module installed. ","ran out of spec templates"
58087,1336F-CWF100-AA-EN-HCS2-LA2,"This AB 0.75 kW 1336 Plus II drive is a 1 horsepower drive. This AC drive in addition is a size A4 frame VFD. Furthermore, this Allen-Bradley drive also is a 500-600V AC or 775V DC adjustable frequency drive. ","ran out of spec templates"
73552,1336F-LA1,,"ran out of spec templates"
73553,1336F-LA2,,"ran out of spec templates"
73551,1336F-LA3,,"ran out of spec templates"
73548,1336F-LA5,,"ran out of spec templates"
71506,1336F-LA6,,"ran out of spec templates"
15329,1336F-MCB-SP1A,,"ran out of spec templates"
15330,1336F-MCB-SP1C,,"ran out of spec templates"
15331,1336F-MCB-SP1D,,"ran out of spec templates"
15333,1336F-MCB-SP1E,,"ran out of spec templates"
15334,1336F-MCB-SP1F,,"ran out of spec templates"
15335,1336F-MCB-SP1G,,"ran out of spec templates"
73627,1336F-MCB-SP1J,,"ran out of spec templates"
71504,1336F-MCB-SP1K,,"ran out of spec templates"
15336,1336F-MCB-SP1L,,"ran out of spec templates"
71512,1336F-MCB-SP1M,,"ran out of spec templates"
15337,1336F-MCB-SP2C,,"ran out of spec templates"
15338,1336F-MCB-SP2D,,"ran out of spec templates"
15339,1336F-MCB-SP2G,,"ran out of spec templates"
71505,1336F-MCB-SP2M,,"ran out of spec templates"
